fournisseur;ID_fournisseurs;Nom de l'agence;CP;ville;Latitude ville;Longitude ville;region;Pays;adresse complete;latitude (fournisseur);longitude (fournisseur);Email;Produit 
Loxam ;Lo;Corner Loxam - Starmat ADMC;91000;Avrainville;48,5623782;2,247154;ile de France ;France ;Route Departementale 449, 91630, France;48.560433;2.282966;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Loxam Rental Fontenay Tresigny;77000;Fontenay-Tresigny;48,7100369;2,8722456;ile de France ;France ;Z.A.E. Fregy, 77610, France;48.702312;2.88131;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Cremaillères Loxam Laho Tec;93000;Bobigny;48,906387;2,4452231;ile de France ;France ;109, rue Benoit Frachon, 93000, France;48.901568;2.429485;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Loxam Access Paris Nord Aulnay;93000;AULNAY SOUS BOIS;48,934231;2,499789;ile de France ;France ;4 Rue Jean Chaptal - ZI De La Garenne, 93600, France;48.94483056;2.483931887;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Loxam Access Paris Sud Chilly;91000;Chilly-mazarin;48,7026161;2,3123582;ile de France ;France ;14 Bis Rue Denis Papin - ZA La Vigne Aux Loups, 91380, France;48.7084368;2.3040912;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Starmat Le Holloco;95000;Ezanville;49,031707;2,361889;ile de France ;France ;12 avenue Jean Rostand, 95460, France;49.038003;2.342081;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Starmat L'Isle Adam;95000;L'Isle Adam;49,1125294;2,2186324;ile de France ;France ;3 avenue Napoleon 1er, 95290, France;49.127439;2.242507;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Starmat Herblay;95000;Herblay;48,9898588;2,166162;ile de France ;France ;403 route de conflans, 95220, France;49.00426005;2.1284155;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Loxam City Republique;75000;Paris;48,8534951;2,3483915;ile de France ;France ;121 Boulevard Richard Lenoir, 75011, France;48.8656592;2.3692127;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Loxam City Porte Doree;75000;Paris;48,8534951;2,3483915;ile de France ;France ;59 Boulevard Poniatowski, 75012, France;48.8332838;2.4012371;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Loxam Access Paris Sud Bondoufle;91000;Bondoufle;48,6103845;2,3655279;ile de France ;France ;22 bis rue Gustave Eiffel, 91070, France;48.622516;2.37635;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricor Maule;78000;Maule;48,9079595;1,8505364;ile de France ;France ;59 Boulevard Paul Barre, 78580, France;48.9120152;1.8531873;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Starmat Arcueil;94000;Arcueil;48,8064996;2,3366502;ile de France ;France ;81 Avenue Paul Vaillant Couturier, 94110, France;48.798651;2.346078;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricorama Nemours;77000;Nemours;48,2385017;2,7820919;ile de France ;France ;21 Rue d'Egreville, 77140, France;48.264775;2.715494;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricomarche Villeneuve;94000;Villeneuve-le-Roi;48,7350308;2,4077003;ile de France ;France ;32 Avenue le Foll, 94290, France;48.7301264;2.430354421;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricorama Orgeval;78000;Orgeval;48,9175;1,96982;ile de France ;France ;Route de Quarante Sous, 78630, France;48.93289039;1.966982432;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricorama Villiers;94000;Villiers-sur-Marne;48,8262055;2,5406696;ile de France ;France ;ZAC, Chemin des Boutareines, 94350, France;48.825959;2.545205;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricorama Rambouillet;78000;Rambouillet;48,6452851;1,819207;ile de France ;France ;26 Rue Gustave Eiffel, 78120, France;48.62693875;1.825694421;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Gedimat Ecuelles;77000;Ecuelles;48,352101;2,7936471;ile de France ;France ;29 Avenue de Sens, 77250, France;48.3706124;2.8290641;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Castorama Villabe;91000;Villabe;48,5885996;2,4544951;ile de France ;France ;ZAC des Brateaux - 1 rue de la Plaine, 91100, France;48.58842;2.44496;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricocash Mormant;77000;Mormant;48,6136858;2,8889649;ile de France ;France ;rue Lavoisier, 77720, France;48.61365502;2.881806275;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Bricomarche Dourdan;91000;Dourdan;48,5288442;2,0153689;ile de France ;France ;42 rue Raymond Laubier, 91410, France;48.527135;2.020990597;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Weldom Oncy sur Ecole;91000;Oncy sur Ecole;48,383062;2,4697864;ile de France ;France ;Grande Rue, 91490, France;48.38881308;2.470104082;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Weldom Breuillet;91000;Breuillet;48,5668797;2,1729461;ile de France ;France ;2 rue du Buisson Rondeau, 91650, France;48.5687476;2.164083174;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Castorama Melun;77000;Melun;48,539927;2,6608169;ile de France ;France ;Z.a.c du champs de foire, 77000, France;48.5346163;2.6570682;mounir.amraoui@loxam.fr;Petits engins
Loxam ;Lo;Corner Loxam - Castorama Gonesse;95000;Gonesse;48,9863555;2,4500537;ile de France ;France ;Z.I. De Paris Nord Ii, 95700, France;49.0764935;2.5613607;mounir.amraoui@loxam.fr;Petits engins
